,ticker,security,sector,industry,isin
0,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",US0378331005
1,MSFT,Microsoft Corp.,Information Technology,Systems Software,US5949181045
2,AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,US0231351067
3,FB,"Facebook, Inc.",Information Technology,Internet Software & Services,US30303M1027
4,JNJ,Johnson & Johnson,Health Care,Health Care Equipment,US4781601046
5,BRK_B,Berkshire Hathaway,Financials,Multi-Sector Holdings,US0846707026
6,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,US30231G1022
7,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,US46625H1005
8,GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,US02079K3059
9,GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,US02079K1079
10,BAC,Bank of America Corp,Financials,Diversified Banks,US0605051046
11,WFC,Wells Fargo,Financials,Diversified Banks,US9497461015
12,PG,Procter & Gamble,Consumer Staples,Personal Products,US7427181091
13,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,US1667641005
14,INTC,Intel Corp.,Information Technology,Semiconductors,US4581401001
15,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,US7170811035
16,T,AT&T Inc,Telecommunication Services,Integrated Telecommunication Services,US00206R1023
17,V,Visa Inc.,Information Technology,Internet Software & Services,US92826C8394
18,UNH,United Health Group Inc.,Health Care,Managed Health Care,US91324P1021
19,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,US4370761029
20,C,Citigroup Inc.,Financials,Diversified Banks,US1729674242
21,KO,Coca-Cola Company(The),Consumer Staples,Soft Drinks,US1912161007
22,VZ,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services,US92343V1044
23,CMCSA,Comcast Corp.,Consumer Discretionary,Cable & Satellite,US20030N1019
24,CSCO,Cisco Systems,Information Technology,Communications Equipment,US17275R1023
25,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,US7134481081
26,DWDP,DowDuPont,Materials,Diversified Chemicals,US26078J1007
27,PM,Philip Morris International,Consumer Staples,Tobacco,US7181721090
28,DIS,The Walt Disney Company,Consumer Discretionary,Cable & Satellite,US2546871060
29,GE,General Electric,Industrials,Industrial Conglomerates,US3696041033
30,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,US00287Y1091
31,MRK,Merck & Co.,Health Care,Pharmaceuticals,US58933Y1055
32,ORCL,Oracle Corp.,Information Technology,Application Software,US68389X1054
33,BA,Boeing Company,Industrials,Aerospace & Defense,US0970231058
34,MA,Mastercard Inc.,Information Technology,Internet Software & Services,US57636Q1040
35,MMM,3M Company,Industrials,Industrial Conglomerates,US88579Y1010
36,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,US5801351017
37,WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,US9311421039
38,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,US4592001014
39,MO,Altria Group Inc,Consumer Staples,Tobacco,US02209S1033
40,AMGN,Amgen Inc,Health Care,Biotechnology,US0311621009
41,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,US4385161066
42,MDT,Medtronic plc,Health Care,Health Care Equipment,IE00BTN1Y115
43,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,US1101221083
44,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,US7475251036
45,TXN,Texas Instruments,Information Technology,Semiconductors,US8825081040
46,ABT,Abbott Laboratories,Health Care,Health Care Equipment,US0028241000
47,UNP,Union Pacific,Industrials,Railroads,US9078181081
48,GILD,Gilead Sciences,Health Care,Biotechnology,US3755581036
49,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,IE00B4BNMY34
50,UTX,United Technologies,Industrials,Aerospace & Defense,US9130171096
51,SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,AN8068571086
52,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,US38141G1040
