date,ticker,price
2010-01-04,AAPL,214.01
2010-01-04,MSFT,30.95
2010-01-04,AMZN,133.9
2010-01-04,JNJ,64.68
2010-01-04,BRK_B,3311.0
2010-01-04,XOM,69.15
2010-01-04,JPM,42.85
2010-01-04,GOOGL,626.75
2010-01-04,BAC,15.69
2010-01-04,WFC,27.32
2010-01-04,PG,61.12
2010-01-04,CVX,79.06
2010-01-04,INTC,20.88
2010-01-04,PFE,18.93
2010-01-04,T,28.58
2010-01-04,V,88.14
2010-01-04,UNH,31.53
2010-01-04,HD,28.67
2010-01-04,C,3.4
2010-01-04,KO,57.04
2010-01-04,VZ,33.28
2010-01-04,CMCSA,16.97
2010-01-04,CSCO,24.69
2010-01-04,PEP,61.24
2010-01-04,PM,49.35
2010-01-04,DIS,32.07
2010-01-04,GE,15.45
2010-01-04,MRK,37.01
2010-01-04,ORCL,24.85
2010-01-04,BA,56.18
2010-01-04,MA,256.84
2010-01-04,MMM,83.02
2010-01-04,MCD,62.78
2010-01-04,WMT,54.23
2010-01-04,IBM,132.45
2010-01-04,MO,19.79
2010-01-04,AMGN,57.7153
2010-01-04,HON,40.35
2010-01-04,MDT,43.9
2010-01-04,BMY,25.63
2010-01-04,QCOM,46.94
2010-01-04,TXN,26.01
2010-01-04,ABT,54.46
2010-01-04,UNP,65.39
2010-01-04,GILD,43.3
2010-01-04,ACN,42.07
2010-01-04,UTX,71.63
2010-01-04,SLB,67.11
2010-01-04,GS,173.08
2010-01-04,PCLN,223.96
2010-01-04,USB,22.88
2010-01-04,SBUX,23.05
2010-01-04,CAT,58.55
2010-01-04,LLY,35.82
2010-01-04,LMT,76.85
2010-01-04,UPS,58.18
2010-01-04,CELG,55.74
2010-01-04,COST,59.41
2010-01-04,NEE,53.25
2010-01-04,NKE,65.35
2010-01-04,CVS,32.98
2010-01-04,AXP,40.92
2010-01-04,MS,30.91
2010-01-04,TWX,29.42
2010-01-04,LOW,23.16
2010-01-04,BIIB,53.64
2010-01-04,CL,82.85
2010-01-04,MDLZ,27.43
2010-01-04,DUK,16.97
2010-01-04,COP,52.58
2010-01-04,WBA,37.3
2010-01-04,BLK,238.58
2010-01-04,AGN,40.29
2010-01-04,DHR,75.15
2010-01-04,GD,69.19
2010-01-04,AIG,29.89
2010-01-04,MET,36.3
2010-01-04,FDX,83.45
2010-01-04,BK,28.29
2010-01-04,RTN,52.21
2010-01-04,SO,33.25
2010-01-04,MON,83.43
2010-01-04,OXY,83.1
2010-01-04,SPG,78.92
2010-01-04,F,10.28
2010-01-04,COF,39.05
2010-01-04,EXC,48.88
2010-01-04,EMR,43.35
2010-01-04,HAL,31.25
2010-01-04,ALL,30.41
2010-01-04,TGT,48.55
2010-01-04,FOXA,13.93
2010-01-04,FOX,16.31
2010-01-05,AAPL,214.38
2010-01-05,MSFT,30.96
2010-01-05,AMZN,134.69
2010-01-05,JNJ,63.93
2010-01-05,BRK_B,3327.0
2010-01-05,XOM,69.42
2010-01-05,JPM,43.68
2010-01-05,GOOGL,623.99
2010-01-05,BAC,16.2
2010-01-05,WFC,28.07
2010-01-05,PG,61.14
2010-01-05,CVX,79.62
2010-01-05,INTC,20.87
2010-01-05,PFE,18.66
2010-01-05,T,28.44
2010-01-05,V,87.13
2010-01-05,UNH,31.48
2010-01-05,HD,28.88
2010-01-05,C,3.53
2010-01-05,KO,56.35
2010-01-05,VZ,32.86
2010-01-05,CMCSA,16.74
2010-01-05,CSCO,24.58
2010-01-05,PEP,61.98
2010-01-05,PM,48.92
2010-01-05,DIS,31.99
2010-01-05,GE,15.53
2010-01-05,MRK,37.16
2010-01-05,ORCL,24.82
2010-01-05,BA,58.02
2010-01-05,MA,256.08
2010-01-05,MMM,82.5
2010-01-05,MCD,62.3
2010-01-05,WMT,53.69
2010-01-05,IBM,130.85
2010-01-05,MO,19.8
2010-01-05,AMGN,57.22
2010-01-05,HON,40.43
2010-01-05,MDT,44.8
2010-01-05,BMY,25.23
2010-01-05,QCOM,48.07
2010-01-05,TXN,25.86
2010-01-05,ABT,54.02
2010-01-05,UNP,66.3
2010-01-05,GILD,43.26
2010-01-05,ACN,42.33
2010-01-05,UTX,70.56
2010-01-05,SLB,67.3
2010-01-05,GS,176.14
2010-01-05,PCLN,226.56
2010-01-05,USB,23.46
2010-01-05,SBUX,23.59
2010-01-05,CAT,59.25
2010-01-05,LLY,35.19
2010-01-05,LMT,77.65
2010-01-05,UPS,58.28
2010-01-05,CELG,55.09
2010-01-05,COST,59.23
2010-01-05,NEE,52.73
2010-01-05,NKE,65.61
2010-01-05,CVS,32.85
2010-01-05,AXP,40.83
2010-01-05,MS,32.04
2010-01-05,TWX,29.09
2010-01-05,CHTR,35.0
2010-01-05,LOW,22.92
2010-01-05,BIIB,53.38
2010-01-05,CL,83.52
2010-01-05,MDLZ,28.77
2010-01-05,DUK,16.69
2010-01-05,COP,52.63
2010-01-05,WBA,37.0
2010-01-05,BLK,239.61
2010-01-05,AGN,39.89
2010-01-05,DHR,75.06
2010-01-05,GD,69.3
2010-01-05,AIG,29.33
2010-01-05,MET,37.14
2010-01-05,FDX,84.54
2010-01-05,BK,28.59
2010-01-05,RTN,51.45
2010-01-05,SO,32.58
2010-01-05,MON,85.27
2010-01-05,OXY,82.5
2010-01-05,SPG,78.38
2010-01-05,F,10.96
2010-01-05,COF,40.59
2010-01-05,EXC,48.08
2010-01-05,EMR,43.42
2010-01-05,HAL,31.65
2010-01-05,ALL,30.91
2010-01-05,TGT,48.73
2010-01-05,FOXA,13.97
2010-01-05,FOX,16.24
2010-01-06,AAPL,210.97
2010-01-06,MSFT,30.77
2010-01-06,AMZN,132.25
2010-01-06,JNJ,64.45
2010-01-06,BRK_B,3310.0
2010-01-06,XOM,70.02
2010-01-06,JPM,43.92
2010-01-06,GOOGL,608.26
2010-01-06,BAC,16.39
2010-01-06,WFC,28.11
2010-01-06,PG,60.85
2010-01-06,CVX,79.63
2010-01-06,INTC,20.8
2010-01-06,PFE,18.6
2010-01-06,T,27.61
2010-01-06,V,85.96
2010-01-06,UNH,31.79
2010-01-06,HD,28.78
2010-01-06,C,3.64
2010-01-06,KO,56.33
2010-01-06,VZ,31.92
2010-01-06,CMCSA,16.62
2010-01-06,CSCO,24.42
2010-01-06,PEP,61.36
2010-01-06,PM,48.92
2010-01-06,DIS,31.82
2010-01-06,GE,15.45
2010-01-06,MRK,37.66
2010-01-06,ORCL,24.46
2010-01-06,BA,59.78
2010-01-06,MA,255.56
2010-01-06,MMM,83.67
2010-01-06,MCD,61.45
2010-01-06,WMT,53.57
2010-01-06,IBM,130.0
2010-01-06,MO,20.09
2010-01-06,AMGN,56.79
2010-01-06,HON,40.43
2010-01-06,MDT,45.33
2010-01-06,BMY,25.22
2010-01-06,QCOM,47.6
2010-01-06,TXN,25.67
2010-01-06,ABT,54.32
2010-01-06,UNP,66.4
2010-01-06,GILD,44.76
2010-01-06,ACN,42.78
2010-01-06,UTX,70.19
2010-01-06,SLB,68.8
2010-01-06,GS,174.26
2010-01-06,PCLN,219.08
2010-01-06,USB,23.71
2010-01-06,SBUX,23.42
2010-01-06,CAT,59.43
2010-01-06,LLY,35.45
2010-01-06,LMT,76.51
2010-01-06,UPS,57.85
2010-01-06,CELG,56.39
2010-01-06,COST,60.0
2010-01-06,NEE,53.25
2010-01-06,NKE,65.21
2010-01-06,CVS,32.56
2010-01-06,AXP,41.49
2010-01-06,MS,32.45
2010-01-06,TWX,29.02
2010-01-06,CHTR,35.0
2010-01-06,LOW,22.98
2010-01-06,BIIB,53.43
2010-01-06,CL,83.33
2010-01-06,MDLZ,28.97
2010-01-06,DUK,16.75
2010-01-06,COP,53.01
2010-01-06,WBA,36.72
2010-01-06,BLK,234.67
2010-01-06,AGN,40.02
2010-01-06,DHR,75.2
2010-01-06,GD,69.24
2010-01-06,AIG,29.14
2010-01-06,MET,37.52
2010-01-06,FDX,83.84
2010-01-06,BK,28.16
2010-01-06,RTN,50.73
2010-01-06,SO,33.04
2010-01-06,MON,86.27
2010-01-06,OXY,83.49
2010-01-06,SPG,77.5
2010-01-06,F,11.37
2010-01-06,COF,40.81
2010-01-06,EXC,48.37
2010-01-06,EMR,43.81
2010-01-06,HAL,32.4
2010-01-06,ALL,30.92
2010-01-06,TGT,49.66
2010-01-06,FOXA,14.2
2010-01-06,FOX,16.48
2010-01-07,AAPL,210.58
2010-01-07,MSFT,30.452
2010-01-07,AMZN,130.0
2010-01-07,JNJ,63.99
2010-01-07,BRK_B,3322.95
2010-01-07,XOM,69.8
2010-01-07,JPM,44.79
2010-01-07,GOOGL,594.1
2010-01-07,BAC,16.93
2010-01-07,WFC,29.13
2010-01-07,PG,60.52
2010-01-07,CVX,79.33
2010-01-07,INTC,20.6
2010-01-07,PFE,18.53
2010-01-07,T,27.3
2010-01-07,V,86.76
2010-01-07,UNH,33.01
2010-01-07,HD,29.12
2010-01-07,C,3.65
2010-01-07,KO,56.19
2010-01-07,VZ,31.73
2010-01-07,CMCSA,16.97
2010-01-07,CSCO,24.53
2010-01-07,PEP,60.97
2010-01-07,PM,49.53
2010-01-07,DIS,31.83
2010-01-07,GE,16.25
2010-01-07,MRK,37.72
2010-01-07,ORCL,24.38
2010-01-07,BA,62.2
2010-01-07,MA,253.89
2010-01-07,MMM,83.73
2010-01-07,MCD,61.9
2010-01-07,WMT,53.6
2010-01-07,IBM,129.55
2010-01-07,MO,20.06
2010-01-07,AMGN,56.27
2010-01-07,HON,41.21
2010-01-07,MDT,45.75
2010-01-07,BMY,25.24
2010-01-07,QCOM,48.98
2010-01-07,TXN,25.75
2010-01-07,ABT,54.77
2010-01-07,UNP,65.81
2010-01-07,GILD,44.87
2010-01-07,ACN,42.74
2010-01-07,UTX,70.49
2010-01-07,SLB,69.51
2010-01-07,GS,177.67
2010-01-07,PCLN,216.13
2010-01-07,USB,24.17
2010-01-07,SBUX,23.36
2010-01-07,CAT,59.67
2010-01-07,LLY,35.27
2010-01-07,LMT,74.41
2010-01-07,UPS,57.41
2010-01-07,CELG,55.89
2010-01-07,COST,59.71
2010-01-07,NEE,53.1
2010-01-07,NKE,65.85
2010-01-07,CVS,33.76
2010-01-07,AXP,41.98
2010-01-07,MS,32.92
2010-01-07,TWX,28.72
2010-01-07,CHTR,35.0
2010-01-07,LOW,23.64
2010-01-07,BIIB,52.99
2010-01-07,CL,83.0
2010-01-07,MDLZ,28.9
2010-01-07,DUK,16.83
